53974 20150102 0700 20150102 0100  2.422  -96.61   39.10    -0.7    -0.7    -0.7    -0.7     0.0      0 0      0 0      0 0 C    -0.8 0    -0.8 0    -0.8 0    70 0 -99.000   0.314   0.392 -99.000 -99.000     0.1     0.9     1.9     4.7     8.6
53974 20150102 0800 20150102 0200  2.422  -96.61   39.10    -0.7    -0.7    -0.7    -0.7     0.0      0 0      0 0      0 0 C    -0.8 0    -0.8 0    -0.9 0    70 0 -99.000   0.308   0.406 -99.000 -99.000     0.1     0.9     1.9     4.7     8.6
53974 20150102 0900 20150102 0300  2.422  -96.61   39.10    -2.2    -1.0    -0.7    -2.2     0.0      0 0      0 0      0 0 C    -1.0 0    -0.8 0    -3.9 0    72 0 -99.000   0.312   0.387 -99.000 -99.000     0.1     0.9     1.9     4.6     8.5
53974 20150102 1000 20150102 0400  2.422  -96.61   39.10    -2.2    -2.5    -1.9    -2.8     0.0      0 0      0 0      0 0 C    -2.8 0    -2.0 0    -4.8 0    74 0 -99.000   0.318   0.390 -99.000 -99.000     0.1     0.9     1.9     4.6     8.5
53974 20150102 1100 20150102 0500  2.422  -96.61   39.10    -2.3    -2.3    -2.1    -2.5     0.0      0 0      0 0      0 0 C    -1.8 0    -1.7 0    -2.0 0    76 0 -99.000   0.319   0.380 -99.000 -99.000     0.1     0.9     1.9     4.7     8.5
53974 20150102 1200 20150102 0600  2.422  -96.61   39.10    -0.9    -1.2    -0.9    -2.4     0.0      0 0      0 0      0 0 C    -1.4 0    -1.2 0    -1.8 0    76 0 -99.000   0.315   0.401 -99.000 -99.000     0.1     0.9     1.9     4.6     8.5
53974 20150102 1300 20150102 0700  2.422  -96.61   39.10    -0.8    -0.9    -0.8    -0.9     0.0      0 0      0 0      0 0 C    -1.2 0    -1.1 0    -1.2 0    76 0 -99.000   0.312   0.415 -99.000 -99.000     0.1     0.9     1.9     4.6     8.5
53974 20150102 1400 20150102 0800  2.422  -96.61   39.10    -0.8    -0.9    -0.8    -0.9     0.0      0 0      0 0      0 0 C    -1.2 0    -1.1 0    -1.2 0    77 0 -99.000   0.317   0.367 -99.000 -99.000     0.1     0.9     1.9     4.6     8.4
53974 20150102 1500 20150102 0900  2.422  -96.61   39.10    -0.4    -0.6    -0.4    -0.8     0.0     11 0     31 0      0 0 C    -0.5 0     0.2 0    -1.1 0    76 0 -99.000   0.320   0.413 -99.000 -99.000     0.1     0.9     1.9     4.6     8.5
53974 20150102 1600 20150102 1000  2.422  -96.61   39.10     0.3     0.0     0.3    -0.4     0.0     56 0     97 0     27 0 C     0.9 0     2.1 0     0.2 0    75 0 -99.000   0.318   0.402 -99.000 -99.000     0.1     0.9     1.9     4.5     8.5
53974 20150102 1700 20150102 1100  2.422  -96.61   39.10     2.2     1.4     2.4     0.3     0.0    234 0    443 0     92 0 C     4.5 0     7.9 0     2.0 0    68 0 -99.000   0.311   0.403 -99.000 -99.000     0.1     0.9     1.9     4.6     8.5
53974 20150102 1800 20150102 1200  2.422  -96.61   39.10     2.7     2.5     3.3     1.6     0.0    303 0    558 0    127 0 C     6.4 0     9.4 0     3.4 0    56 0 -99.000   0.318   0.391 -99.000 -99.000     0.1     0.9     1.9     4.6     8.5
53974 20150102 1900 20150102 1300  2.422  -96.61   39.10     3.3     3.2     3.5     2.7     0.0    289 0    423 0    171 0 C     6.8 0     7.9 0     5.2 0    54 0 -99.000   0.314   0.367 -99.000 -99.000     0.1     0.9     1.9     4.6     8.5
53974 20150102 2000 20150102 1400  2.422  -96.61   39.10     3.6     3.4     3.8     3.0     0.0    154 0    242 0    107 0 C     5.4 0     6.9 0     4.5 0    55 0 -99.000   0.307   0.382 -99.000 -99.000     0.2     0.9     1.9     4.5     8.4
53974 20150102 2100 20150102 1500  2.422  -96.61   39.10     3.6     3.5     3.7     3.3     0.0    128 0    224 0     80 0 C     4.8 0     6.0 0     4.0 0    56 0 -99.000   0.318   0.415 -99.000 -99.000     0.2     0.9     1.9     4.6     8.5
53974 20150102 2200 20150102 1600  2.422  -96.61   39.10     3.2     3.4     3.7     3.2     0.0     73 0    161 0     28 0 C     4.2 0     6.0 0     3.0 0    58 0 -99.000   0.315   0.396 -99.000 -99.000     0.1     0.9     1.9     4.5     8.5
53974 20150102 2300 20150102 1700  2.422  -96.61   39.10     2.5     2.8     3.2     2.5     0.0      9 0     28 0      0 0 C     2.1 0     3.0 0     1.3 0    60 0 -99.000   0.311   0.390 -99.000 -99.000     0.2     0.9     1.9     4.6     8.5
53974 20150103 0000 20150102 1800  2.422  -96.61   39.10     1.6     1.9     2.5     1.6     0.0      0 0      0 0      0 0 C     0.8 0     1.3 0     0.5 0    64 0 -99.000   0.313   0.401 -99.000 -99.000     0.2     0.9     1.9     4.5     8.4
53974 20150103 0100 20150102 1900  2.422  -96.61   39.10     1.1     1.3     1.6     1.1     0.0      0 0      0 0      0 0 C     0.1 0     0.5 0    -0.4 0    68 0 -99.000   0.306   0.386 -99.000 -99.000     0.2     0.9     1.9     4.5     8.4
53974 20150103 0200 20150102 2000  2.422  -96.61   39.10     0.7     0.8     1.1     0.6     0.0      0 0      0 0      0 0 C    -0.5 0    -0.1 0    -1.2 0    73 0 -99.000   0.311   0.392 -99.000 -99.000     0.2     0.9     1.9     4.5     8.4
53974 20150103 0300 20150102 2100  2.422  -96.61   39.10    -0.2     0.1     0.7    -0.2     0.0      0 0      0 0      0 0 C    -1.4 0    -0.7 0    -1.8 0    77 0 -99.000   0.324   0.397 -99.000 -99.000     0.2     0.9     1.9     4.5     8.4
53974 20150103 0400 20150102 2200  2.422  -96.61   39.10    -0.9    -0.5    -0.2    -0.9     0.0      0 0      0 0      0 0 C    -1.7 0    -1.4 0    -2.3 0    82 0 -99.000   0.310   0.392 -99.000 -99.000     0.2     1.0     1.9     4.5     8.4
53974 20150103 0500 20150102 2300  2.422  -96.61   39.10    -0.6    -0.6    -0.4    -1.0     0.0      0 0      0 0      0 0 C    -1.6 0    -1.3 0    -2.2 0    86 0 -99.000   0.315   0.384 -99.000 -99.000     0.2     0.9     1.9     4.4     8.4
53974 20150103 0600 20150103 0000  2.422  -96.61   39.10    -1.0    -0.7    -0.5    -1.0     0.0      0 0      0 0      0 0 C    -1.6 0    -1.4 0    -2.1 0    88 0 -99.000   0.319   0.377 -99.000 -99.000     0.2     1.0     1.9     4.5     8.4
53974 20150103 0700 20150103 0100  2.422  -96.61   39.10    -0.7    -0.8    -0.6    -1.3     0.0      0 0      0 0      0 0 C    -1.8 0    -1.5 0    -2.2 0    89 0 -99.000   0.313   0.397 -99.000 -99.000     0.2     1.0     1.9     4.4     8.4
